Date - Time,Date,Day Number,Day of Week,Distance (mi),Elevation Gain (ft),Calories,Avg HR (bpm),HRSS,HRSS / h,Cadence,Avg Watts (w)
2020-12-10T13:48:31-05:00,12/10/20,259,Thursday,3.28,159.5,296,174,47,118,180,244
2020-12-09T10:25:49-05:00,12/9/20,258,Wednesday,3.29,160.2,285,169,40,101,182,245
2020-12-08T12:25:04-05:00,12/8/20,257,Tuesday,2.09,120.7,175,164,22,87,182,247
2020-12-07T13:00:17-05:00,12/7/20,256,Monday,3.15,172.9,251,159,33,86,184,241
2020-12-06T16:42:41-05:00,12/6/20,255,Sunday,4.17,225.4,335,154,42,79,186,232
2020-12-05T13:52:10-05:00,12/5/20,254,Saturday,1.38,76.6,97,140,7,44,188,243
2020-12-04T17:03:37-05:00,12/4/20,253,Friday,3.26,159.5,154,118,9,22,186,232
2020-12-03T17:38:37-05:00,12/3/20,252,Thursday,1.49,87.3,139,163,17,88,184,226
2020-12-02T17:00:33-05:00,12/2/20,251,Wednesday,2.13,120.9,180,156,22,81,188,232
2020-12-01T17:30:56-05:00,12/1/20,250,Tuesday,1.32,74.5,125,161,15,84,186,219
2020-11-30T11:36:32-05:00,11/30/20,249,Monday,1.33,73.7,80,126,5,28,186,234
2020-11-29T14:49:44-05:00,11/29/20,248,Sunday,3.43,177.1,327,157,35,74,176,215
2020-11-28T10:24:40-05:00,11/28/20,247,Saturday,1.24,66.9,108,146,10,56,184,220
2020-11-27T12:48:15-05:00,11/27/20,246,Friday,1.54,79.4,98,129,6,32,184,236
2020-11-26T11:08:25-05:00,11/26/20,245,Thursday,6.25,73.2,559,165,72,90,186,244
2020-11-26T10:51:47-05:00,11/26/20,245,Thursday,1.01,53.2,70,131,5,36,180,173
2020-11-25T09:31:34-05:00,11/25/20,244,Wednesday,3.27,159.5,295,164,38,93,182,239
2020-11-24T13:19:28-05:00,11/24/20,243,Tuesday,3.28,159.6,290,157,29,70,178,234
2020-11-23T10:46:46-05:00,11/23/20,242,Monday,3.14,159.1,244,147,24,58,182,238
2020-11-22T11:23:37-05:00,11/22/20,241,Sunday,4.28,195.1,405,169,55,100,182,233
2020-11-21T17:45:51-05:00,11/21/20,240,Saturday,2.05,162.5,138,142,12,51,184,256
2020-11-21T07:17:00-05:00,11/21/20,240,Saturday,5.29,0,588,-,-,-,-,-
2020-11-20T10:43:41-05:00,11/20/20,239,Friday,3.26,29.4,307,170,43,100,182,238
2020-11-19T08:24:08-05:00,11/19/20,238,Thursday,3.13,24.4,257,154,29,70,182,241
2020-11-18T16:30:35-05:00,11/18/20,237,Wednesday,5.26,93.8,438,160,56,81,180,244
2020-11-17T19:00:13-05:00,11/17/20,236,Tuesday,3.22,32.1,291,167,39,97,180,239
2020-11-16T16:29:15-05:00,11/16/20,235,Monday,6.26,142.7,581,171,83,105,178,247
2020-11-15T12:08:44-05:00,11/15/20,234,Sunday,10.09,115.2,918,165,126,88,182,229
2020-11-14T12:02:55-05:00,11/14/20,233,Saturday,3.18,24.4,246,144,21,51,182,234
2020-11-13T17:25:28-05:00,11/13/20,232,Friday,2.89,27.6,282,168,35,93,178,229
2020-11-13T16:33:09-05:00,11/13/20,232,Friday,5.28,93.2,487,162,60,83,178,234
2020-11-12T23:45:00-05:00,11/12/20,231,Thursday,1.54,17.8,101,132,6,35,182,244
2020-11-11T17:09:26-05:00,11/11/20,230,Wednesday,3.15,30.2,270,158,29,75,180,246
2020-11-10T19:46:58-05:00,11/10/20,229,Tuesday,3.12,29.5,298,166,37,93,180,234
2020-11-09T19:15:05-05:00,11/9/20,228,Monday,3.16,39.4,277,158,36,75,182,240
2020-11-08T11:50:52-05:00,11/8/20,227,Sunday,10.01,123.3,785,154,125,68,182,230
2020-11-07T12:38:06-05:00,11/7/20,226,Saturday,3.12,29.3,252,152,34,66,184,244
2020-11-06T16:51:23-05:00,11/6/20,225,Friday,5.55,82.5,488,162,66,84,182,243
2020-11-05T13:45:26-05:00,11/5/20,224,Thursday,3.12,37.2,234,145,24,55,182,239
2020-11-04T22:30:45-05:00,11/4/20,223,Wednesday,1.51,10.5,142,163,16,85,184,234
2020-11-03T17:51:30-05:00,11/3/20,222,Tuesday,3.12,70.1,266,156,34,72,182,243
2020-11-02T16:33:13-05:00,11/2/20,221,Monday,5.27,92.9,463,160,53,78,178,239
2020-11-01T11:37:52-05:00,11/1/20,220,Sunday,13.2,134.4,1081,159,139,75,180,231
2020-10-31T12:18:25-04:00,10/31/20,219,Saturday,3.15,29.3,291,160,35,80,182,232
2020-10-30T20:33:56-04:00,10/30/20,218,Friday,3.12,29.5,278,163,33,84,176,239
2020-10-29T18:37:34-04:00,10/29/20,217,Thursday,6.04,119.2,329,132,26,35,176,244
2020-10-28T21:02:59-04:00,10/28/20,216,Wednesday,3.15,29.2,259,162,34,90,180,246
2020-10-27T18:39:57-04:00,10/27/20,215,Tuesday,5,78.3,439,171,65,103,180,250
2020-10-26T20:41:11-04:00,10/26/20,214,Monday,2.02,31.5,173,157,19,74,180,237
2020-10-25T11:41:42-04:00,10/25/20,213,Sunday,13.23,119.9,1071,161,153,81,180,230
2020-10-24T12:30:57-04:00,10/24/20,212,Saturday,3.13,22.2,286,168,38,95,178,234
2020-10-23T17:20:59-04:00,10/23/20,211,Friday,1.05,16,96,163,12,82,176,232
2020-10-23T16:49:15-04:00,10/23/20,211,Friday,2.56,0,231,158,28,78,180,210
2020-10-23T16:36:53-04:00,10/23/20,211,Friday,1.07,0,87,152,9,65,174,234
2020-10-22T18:38:10-04:00,10/22/20,210,Thursday,6.05,60.9,579,174,87,109,178,233
2020-10-21T23:35:08-04:00,10/21/20,209,Wednesday,2.05,32.8,181,168,24,95,178,245
2020-10-20T18:39:10-04:00,10/20/20,208,Tuesday,5.01,96,451,172,65,104,178,245
2020-10-19T18:41:34-04:00,10/19/20,207,Monday,3.19,30.2,288,167,37,91,178,237
2020-10-18T10:47:17-04:00,10/18/20,206,Sunday,13.13,138.5,1071,161,165,82,178,226
2020-10-17T11:13:37-04:00,10/17/20,205,Saturday,3.16,22.4,304,172,43,106,182,232
2020-10-16T21:19:52-04:00,10/16/20,204,Friday,1.71,29.7,105,129,7,32,182,240
2020-10-15T19:46:21-04:00,10/15/20,203,Thursday,1.71,28.9,133,146,13,58,178,234
2020-10-14T10:22:47-04:00,10/14/20,202,Wednesday,3.13,23.4,292,169,39,100,182,238
2020-10-13T18:36:15-04:00,10/13/20,201,Tuesday,7.64,133.2,677,166,89,90,178,238
2020-10-12T18:43:34-04:00,10/12/20,200,Monday,3.27,40.2,261,158,31,79,186,245
2020-10-11T10:19:44-04:00,10/11/20,199,Sunday,13.13,250.6,979,157,152,74,180,230
2020-10-10T11:47:33-04:00,10/10/20,198,Saturday,3.22,39.5,274,163,43,88,184,241
2020-10-09T18:54:02-04:00,10/9/20,197,Friday,3.13,22.5,292,174,44,112,180,242
2020-10-08T18:36:45-04:00,10/8/20,196,Thursday,5.88,137.2,543,171,77,103,178,245
2020-10-07T10:24:49-04:00,10/7/20,195,Wednesday,3.18,32.1,284,165,36,91,182,238
2020-10-06T18:36:09-04:00,10/6/20,194,Tuesday,5.03,111.9,425,162,58,82,182,239
2020-10-05T16:37:28-04:00,10/5/20,193,Monday,5.62,132.9,491,164,63,86,178,237
2020-10-04T10:12:23-04:00,10/4/20,192,Sunday,15.02,293.8,1161,156,188,72,184,228
2020-10-03T12:53:13-04:00,10/3/20,191,Saturday,3.13,22.4,275,164,36,93,184,237
2020-10-02T18:14:04-04:00,10/2/20,190,Friday,3.15,32.1,277,165,37,89,180,241
2020-10-01T18:38:33-04:00,10/1/20,189,Thursday,6.04,113.3,565,167,75,92,180,234
2020-09-30T21:14:09-04:00,9/30/20,188,Wednesday,3.14,22.8,276,165,37,97,184,244
2020-09-29T19:10:00-04:00,9/29/20,187,Tuesday,0.89,12,84,155,9,68,176,221
2020-09-29T18:44:50-04:00,9/29/20,187,Tuesday,2.08,0,190,142,18,54,182,177
2020-09-29T18:32:43-04:00,9/29/20,187,Tuesday,1.21,6.6,103,158,11,74,180,239
2020-09-28T18:34:33-04:00,9/28/20,186,Monday,6.04,93.6,527,158,59,74,178,237
2020-09-27T10:31:08-04:00,9/27/20,185,Sunday,16.02,280.7,1233,157,192,73,180,228
2020-09-26T09:22:19-04:00,9/26/20,184,Saturday,3.17,34.7,294,164,39,89,182,233
2020-09-25T18:34:41-04:00,9/25/20,183,Friday,5.7,147.3,478,157,71,74,176,232
2020-09-24T18:35:40-04:00,9/24/20,182,Thursday,5.24,96.5,509,175,75,112,178,240
2020-09-23T21:15:20-04:00,9/23/20,181,Wednesday,1.43,18.9,122,156,13,74,178,242
2020-09-22T09:26:22-04:00,9/22/20,180,Tuesday,3.13,32.6,267,157,31,79,182,239
2020-09-21T18:36:34-04:00,9/21/20,179,Monday,6.04,93.4,558,164,70,88,176,238
2020-09-20T11:29:41-04:00,9/20/20,178,Sunday,13.13,176.4,1139,161,150,80,180,230
2020-09-19T06:51:49-04:00,9/19/20,177,Saturday,3.22,31,283,157,28,71,182,240
2020-09-18T18:35:06-04:00,9/18/20,176,Friday,4.13,31.1,357,158,42,74,178,241
2020-09-18T06:40:37-04:00,9/18/20,176,Friday,3.15,30.6,283,165,34,89,182,244
2020-09-17T18:35:35-04:00,9/17/20,175,Thursday,6.23,79.4,586,164,77,87,176,231
2020-09-17T11:56:15-04:00,9/17/20,175,Thursday,3.13,35.2,278,159,35,78,180,239
2020-09-16T06:52:37-04:00,9/16/20,174,Wednesday,3.14,31.3,281,162,31,81,180,240
2020-09-15T10:05:20-04:00,9/15/20,173,Tuesday,3.15,32.8,280,161,35,81,180,236
2020-09-14T10:07:51-04:00,9/14/20,172,Monday,3.13,30.5,259,154,28,72,182,236
2020-09-13T09:59:17-04:00,9/13/20,171,Sunday,14.05,166.4,1239,162,174,83,178,223
2020-09-12T06:29:29-04:00,9/12/20,170,Saturday,3.15,22.3,301,167,37,94,180,238
2020-09-11T06:02:58-04:00,9/11/20,169,Friday,3.15,22.5,293,164,34,87,180,242
